7zip 26.02-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pkgconf 3.0.5-1
polkit 127-3
poppler 26.08.0-1
poppler-data 0.4.12-2
poppler-glib 26.08.0-1
popt 1.19-2
portaudio 1:19.7.0-4
procps-ng 4.0.7-1
protobuf 35.1-2
protobuf-c 1.5.2-13
protonup-qt 2.15.1-1
psmisc 23.7-2
pyside6 6.11.2-1
python 3.14.7-1
python-argcomplete 3.7.2-1
python-attrs 26.1.0-1
python-autocommand 2.2.2-9
python-brltty 6.9.1-3
python-cachetools 7.1.7-1
python-cairo 1.29.1-1
python-certifi 2026.07.22-1
python-cffi 2.1.1-1
python-charset-normalizer 3.4.7-1
python-cryptography 50.0.1-1
python-dasbus 1.7-5
python-dbus 1.4.0-2
python-defusedxml 0.7.1-8
python-filelock 3.29.4-1
python-gbinder 1.3.1-1
python-gevent 26.8.0-1
python-gobject 3.56.3-1
python-greenlet 3.5.1-1
python-h11 0.16.0-2
python-idna 3.19-1
python-inputs 0.5-4
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-lxml 6.1.2_1-1
python-more-itertools 11.1.0-1
python-packaging 26.3-1
python-pip 26.2.1-1
python-platformdirs 4.11.4-1
python-protobuf 35.1-2
python-psutil 7.2.2-1
python-pyaml 26.7.0-1
python-pycparser 3.00-1
python-pycryptodomex 3.23.0-3
python-pyxdg 0.28-7
python-requests 2.34.2-1
python-setproctitle 1.3.7-2
python-setuptools 1:84.0.0-1
python-six 1.17.0-3
python-steam 2.0.0.alpha1-3
python-systemd 236-1
python-typing_extensions 4.16.0-1
python-urllib3 2.7.0-1
python-vdf 4.0-5
python-wheel 0.48.0-1
python-wsproto 1.3.2-1
python-yaml 6.0.3-2
python-zope-event 6.2-1
python-zope-interface 8.6-1
python-zstandard 0.25.0-3
qemu-common 11.1.0-1
